epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,4.9507,0.79,4.7485,1.02,4.5,31.33,0m 31s,0.0,10.4,0.0,23.9,0.020000,2025-07-11 09:33:46,torch
1,4.6227,2.39,4.4793,3.58,13.23,31.53,0m 31s,99.43,12.08,13.78,24.1,0.040000,2025-07-11 09:34:19,torch
2,4.4156,4.13,4.2063,6.32,22.36,31.55,0m 31s,99.32,12.16,13.78,24.1,0.060000,2025-07-11 09:34:51,torch
3,4.1343,8.45,3.9431,11.68,35.0,31.02,0m 31s,99.37,11.98,13.78,24.09,0.080000,2025-07-11 09:35:22,torch
4,3.8811,13.28,3.6387,18.17,46.51,32.18,0m 32s,99.71,13.03,13.78,24.1,0.100000,2025-07-11 09:35:55,torch
5,3.6393,18.13,3.536,21.32,50.36,31.53,0m 31s,99.57,13.51,13.78,24.06,0.120000,2025-07-11 09:36:27,torch
6,3.3675,23.96,3.2318,28.49,58.82,31.54,0m 31s,99.54,12.4,13.78,24.1,0.140000,2025-07-11 09:37:00,torch
7,3.0905,30.7,2.9267,34.31,68.06,31.56,0m 31s,99.39,11.86,13.78,24.1,0.160000,2025-07-11 09:37:32,torch
8,2.87,36.47,2.9278,37.7,69.16,29.49,0m 29s,99.38,13.46,13.78,24.1,0.180000,2025-07-11 09:38:03,torch
9,2.7123,40.53,2.7925,39.35,72.64,30.81,0m 30s,99.63,12.64,13.78,24.14,0.200000,2025-07-11 09:38:34,torch
10,2.5848,44.12,2.7991,41.42,73.01,31.21,0m 31s,96.33,12.91,13.78,24.1,0.220000,2025-07-11 09:39:05,torch
11,2.4914,46.93,2.695,42.53,73.57,31.83,0m 31s,99.29,11.41,13.78,24.2,0.240000,2025-07-11 09:39:38,torch
12,2.4257,48.88,2.4699,48.57,79.36,31.56,0m 31s,99.39,12.71,13.78,24.19,0.260000,2025-07-11 09:40:10,torch
13,2.3729,50.47,2.4792,47.49,79.1,31.59,0m 31s,99.43,12.02,13.78,24.2,0.280000,2025-07-11 09:40:43,torch
14,2.326,51.78,2.679,44.44,74.81,31.76,0m 31s,99.54,12.09,13.78,24.2,0.300000,2025-07-11 09:41:15,torch
15,2.2944,52.42,2.6056,45.45,76.03,31.45,0m 31s,99.57,11.56,13.78,24.2,0.320000,2025-07-11 09:41:47,torch
16,2.2674,53.44,2.5074,47.13,78.03,30.55,0m 30s,99.33,12.51,13.78,24.2,0.340000,2025-07-11 09:42:19,torch
17,2.2441,54.2,2.574,46.18,76.4,32.05,0m 32s,99.5,11.24,13.78,24.2,0.360000,2025-07-11 09:42:51,torch
18,2.2235,54.62,2.3618,51.08,81.36,31.74,0m 31s,99.5,13.49,13.78,24.2,0.380000,2025-07-11 09:43:23,torch
19,2.2084,55.26,2.4212,49.11,80.39,31.71,0m 31s,99.46,13.49,13.78,24.24,0.400000,2025-07-11 09:43:56,torch
20,2.1933,55.75,2.5901,46.75,76.78,32.52,0m 32s,99.52,11.64,13.78,24.21,0.399981,2025-07-11 09:44:29,torch
21,2.1686,56.42,2.2797,54.08,82.94,32.0,0m 32s,96.39,11.59,13.78,24.2,0.399925,2025-07-11 09:45:02,torch
22,2.1428,57.14,3.1597,44.04,72.72,32.32,0m 32s,99.79,11.6,13.78,24.2,0.399832,2025-07-11 09:45:34,torch
23,2.1178,57.93,2.5743,48.49,77.16,31.98,0m 31s,99.64,12.54,13.78,24.2,0.399702,2025-07-11 09:46:07,torch
24,2.0916,58.56,2.3368,52.66,81.72,30.0,0m 29s,99.42,11.69,13.78,24.2,0.399534,2025-07-11 09:46:37,torch
25,2.0874,58.85,2.4469,50.68,80.0,30.06,0m 30s,99.93,11.7,13.78,24.2,0.399329,2025-07-11 09:47:08,torch
26,2.0686,59.51,2.5782,47.08,76.73,31.59,0m 31s,99.43,12.03,13.78,24.21,0.399087,2025-07-11 09:47:40,torch
27,2.0496,60.03,2.2647,55.02,83.65,31.45,0m 31s,99.71,14.39,13.78,24.23,0.398807,2025-07-11 09:48:12,torch
28,2.0358,60.64,2.2583,54.48,83.25,31.34,0m 31s,96.39,12.05,13.78,24.3,0.398491,2025-07-11 09:48:45,torch
29,2.0232,60.45,2.2743,54.36,82.95,31.76,0m 31s,99.71,12.92,13.78,24.3,0.398137,2025-07-11 09:49:17,torch
30,2.0175,60.8,2.3954,50.38,81.25,32.1,0m 32s,99.61,12.13,13.78,24.3,0.397747,2025-07-11 09:49:50,torch
31,1.9982,61.65,2.4308,51.65,81.32,30.04,0m 30s,99.65,12.68,13.78,24.3,0.397319,2025-07-11 09:50:20,torch
32,1.9933,61.74,2.338,52.61,82.4,31.81,0m 31s,99.61,11.72,13.78,24.3,0.396855,2025-07-11 09:50:52,torch
33,1.9796,61.97,2.1945,57.35,85.2,31.56,0m 31s,99.5,11.62,13.78,24.3,0.396354,2025-07-11 09:51:24,torch
34,1.9651,62.67,2.652,48.14,76.0,30.43,0m 30s,99.48,12.2,13.78,24.3,0.395817,2025-07-11 09:51:56,torch
35,1.968,62.6,2.1843,56.96,85.43,31.53,0m 31s,96.32,14.35,13.78,24.35,0.395243,2025-07-11 09:52:28,torch
36,1.9508,63.02,2.2671,55.2,83.33,31.54,0m 31s,99.61,11.76,13.78,24.32,0.394632,2025-07-11 09:53:00,torch
37,1.9484,63.32,2.2047,55.05,84.35,31.53,0m 31s,99.57,14.28,13.78,24.31,0.393986,2025-07-11 09:53:33,torch
38,1.9325,63.67,2.1974,57.26,85.32,31.6,0m 31s,99.25,11.98,13.78,24.32,0.393303,2025-07-11 09:54:05,torch
39,1.9291,63.71,2.698,46.21,73.97,29.96,0m 29s,99.35,14.74,13.78,24.34,0.392583,2025-07-11 09:54:35,torch
40,1.917,64.13,2.227,55.63,83.67,31.47,0m 31s,99.43,12.09,13.78,24.44,0.391828,2025-07-11 09:55:08,torch
41,1.9117,64.32,2.1636,56.64,84.88,30.54,0m 30s,99.37,13.86,13.78,24.4,0.391038,2025-07-11 09:55:39,torch
42,1.9007,64.54,2.0788,59.92,86.74,30.45,0m 30s,99.22,13.83,13.78,24.45,0.390211,2025-07-11 09:56:10,torch
43,1.898,64.83,2.2142,56.63,84.58,32.25,0m 32s,99.82,12.08,13.78,24.4,0.389349,2025-07-11 09:56:43,torch
44,1.884,65.23,2.2509,56.05,84.45,31.58,0m 31s,99.39,13.55,13.78,24.41,0.388452,2025-07-11 09:57:15,torch
45,1.8784,65.0,2.2567,55.72,83.34,31.57,0m 31s,99.29,13.42,13.78,24.46,0.387520,2025-07-11 09:57:47,torch
46,1.8715,65.48,2.1143,58.52,85.93,32.5,0m 32s,99.76,11.62,13.78,24.4,0.386552,2025-07-11 09:58:21,torch
47,1.8699,65.31,2.0419,60.08,87.38,31.65,0m 31s,99.14,11.91,13.78,24.37,0.385550,2025-07-11 09:58:53,torch
48,1.8558,66.05,2.1346,58.39,85.83,32.09,0m 32s,99.64,13.35,13.78,24.3,0.384514,2025-07-11 09:59:25,torch
49,1.8542,66.04,2.1736,57.42,85.9,31.54,0m 31s,99.5,11.61,13.78,24.3,0.383442,2025-07-11 09:59:58,torch
50,1.8488,66.06,2.1356,58.92,85.94,32.56,0m 32s,99.62,12.57,13.78,24.3,0.382337,2025-07-11 10:00:31,torch
51,1.8412,66.27,2.2011,57.24,84.99,30.15,0m 30s,99.44,11.26,13.78,24.3,0.381197,2025-07-11 10:01:03,torch
