epoch,train_loss,train_acc,val_loss,top1_acc,top5_acc,epoch_time_seconds,epoch_time_formatted,avg_gpu_percent,avg_cpu_percent,avg_gpu_memory_used_gb,avg_cpu_memory_percent,learning_rate,timestamp,framework
0,5.0029,1.13,4.8081,0.97,5.13,11.65,0m 11s,0.0,14.1,0.0,24.6,0.020000,2025-07-11 04:44:44,torch
1,4.6215,2.14,4.5306,3.79,12.44,9.71,0m 9s,95.67,18.61,6.04,24.61,0.040000,2025-07-11 04:44:54,torch
2,4.4359,4.27,4.2248,6.14,22.84,9.15,0m 9s,97.62,17.74,6.04,24.75,0.060000,2025-07-11 04:45:04,torch
3,4.1642,7.87,3.9916,11.14,33.04,9.4,0m 9s,98.89,17.33,6.04,24.79,0.080000,2025-07-11 04:45:14,torch
4,3.9409,12.11,3.7126,16.77,43.28,10.0,0m 10s,98.11,17.79,6.04,24.79,0.100000,2025-07-11 04:45:24,torch
5,3.7217,16.43,3.4695,21.31,50.9,9.83,0m 9s,98.33,16.81,6.04,24.77,0.120000,2025-07-11 04:45:35,torch
6,3.513,21.07,3.4437,23.1,53.59,8.18,0m 8s,97.75,19.74,6.04,24.79,0.140000,2025-07-11 04:45:44,torch
7,3.2783,26.28,3.2014,29.48,61.28,9.51,0m 9s,97.89,24.33,6.04,24.85,0.160000,2025-07-11 04:45:55,torch
8,3.0721,31.31,3.2564,31.02,62.81,9.98,0m 9s,98.56,20.04,6.04,24.88,0.180000,2025-07-11 04:46:05,torch
9,2.907,35.3,3.0654,34.04,67.79,8.9,0m 8s,98.38,16.94,6.04,24.81,0.200000,2025-07-11 04:46:14,torch
10,2.7804,38.79,2.7838,40.45,72.32,8.99,0m 8s,97.62,14.91,6.04,24.81,0.220000,2025-07-11 04:46:24,torch
11,2.6715,41.79,2.6827,41.74,75.47,10.01,0m 10s,98.44,15.94,6.04,24.89,0.240000,2025-07-11 04:46:34,torch
12,2.6017,44.09,2.6152,43.82,75.57,8.85,0m 8s,97.62,17.61,6.04,24.94,0.260000,2025-07-11 04:46:44,torch
13,2.5494,45.16,2.9145,38.95,70.74,9.13,0m 9s,98.38,16.8,6.04,24.93,0.280000,2025-07-11 04:46:53,torch
14,2.4968,47.08,2.6336,43.51,75.53,9.9,0m 9s,98.11,16.89,6.04,24.91,0.300000,2025-07-11 04:47:03,torch
15,2.458,48.05,2.7092,43.18,73.62,9.3,0m 9s,97.67,16.67,6.04,24.93,0.320000,2025-07-11 04:47:14,torch
16,2.4336,48.64,2.6723,44.3,75.14,8.88,0m 8s,97.56,17.07,6.04,24.92,0.340000,2025-07-11 04:47:23,torch
17,2.4057,49.52,2.5578,44.85,76.67,9.47,0m 9s,95.33,17.6,6.04,24.9,0.360000,2025-07-11 04:47:33,torch
18,2.3805,50.16,2.4878,47.03,79.3,9.98,0m 9s,98.44,17.41,6.04,24.93,0.380000,2025-07-11 04:47:44,torch
19,2.3714,50.47,2.5395,45.97,77.9,8.91,0m 8s,98.0,20.55,6.04,24.96,0.400000,2025-07-11 04:47:53,torch
20,2.3618,50.68,2.6985,42.93,74.61,8.81,0m 8s,98.62,20.75,6.04,24.99,0.399981,2025-07-11 04:48:02,torch
21,2.3311,51.72,2.5503,46.24,77.46,9.99,0m 9s,98.44,16.69,6.04,24.93,0.399925,2025-07-11 04:48:13,torch
22,2.3083,52.56,2.6203,44.97,76.63,8.86,0m 8s,98.0,16.14,6.04,24.93,0.399832,2025-07-11 04:48:22,torch
23,2.2833,53.31,2.5058,47.83,78.37,8.96,0m 8s,98.12,14.86,6.04,24.91,0.399702,2025-07-11 04:48:31,torch
24,2.2635,53.85,2.4263,50.0,79.6,9.9,0m 9s,98.22,18.36,6.04,24.91,0.399534,2025-07-11 04:48:42,torch
25,2.2545,53.8,2.7252,42.95,73.86,9.07,0m 9s,97.0,17.41,6.04,24.91,0.399329,2025-07-11 04:48:51,torch
26,2.2394,54.33,2.4521,48.33,79.26,8.3,0m 8s,96.38,17.93,6.04,24.94,0.399087,2025-07-11 04:49:00,torch
27,2.2186,54.98,2.9712,37.11,67.05,9.96,0m 9s,98.67,20.79,6.04,24.99,0.398807,2025-07-11 04:49:11,torch
28,2.2002,55.43,2.469,48.17,79.26,9.51,0m 9s,96.56,16.7,6.04,24.92,0.398491,2025-07-11 04:49:21,torch
29,2.1891,55.88,2.4715,47.92,79.42,9.63,0m 9s,98.22,16.69,6.04,24.91,0.398137,2025-07-11 04:49:32,torch
30,2.1848,55.99,2.4131,50.99,81.22,9.38,0m 9s,98.56,19.41,6.04,24.97,0.397747,2025-07-11 04:49:42,torch
31,2.1702,56.39,2.5543,46.73,75.75,9.61,0m 9s,96.89,18.74,6.04,24.99,0.397319,2025-07-11 04:49:53,torch
32,2.1668,56.52,2.5235,46.84,77.23,9.69,0m 9s,88.11,17.14,6.04,24.91,0.396855,2025-07-11 04:50:03,torch
33,2.1512,56.83,2.3645,51.06,81.39,9.57,0m 9s,98.78,16.51,6.04,24.92,0.396354,2025-07-11 04:50:14,torch
34,2.1347,57.32,2.4256,49.93,80.36,8.28,0m 8s,97.75,16.14,6.04,24.94,0.395817,2025-07-11 04:50:23,torch
35,2.1362,57.22,2.2843,53.56,82.48,9.99,0m 9s,98.89,16.59,6.04,24.96,0.395243,2025-07-11 04:50:33,torch
36,2.1303,57.77,2.4175,50.63,81.1,9.9,0m 9s,90.56,18.76,6.04,24.94,0.394632,2025-07-11 04:50:44,torch
37,2.1199,58.16,2.3622,51.67,81.1,8.21,0m 8s,97.88,17.59,6.04,24.91,0.393986,2025-07-11 04:50:53,torch
38,2.1078,58.24,2.3687,51.77,81.5,9.38,0m 9s,95.11,19.03,6.04,24.88,0.393303,2025-07-11 04:51:04,torch
39,2.0983,58.23,2.4194,50.74,80.87,10.15,0m 10s,98.22,18.1,6.04,25.03,0.392583,2025-07-11 04:51:14,torch
40,2.0933,59.06,2.3997,50.98,80.49,9.66,0m 9s,97.44,17.79,6.04,24.99,0.391828,2025-07-11 04:51:24,torch
41,2.0919,58.78,2.4606,49.27,78.43,8.09,0m 8s,96.62,16.0,6.04,24.96,0.391038,2025-07-11 04:51:34,torch
42,2.082,59.18,2.2581,54.09,83.42,9.95,0m 9s,97.5,16.67,6.04,25.03,0.390211,2025-07-11 04:51:44,torch
43,2.0743,59.19,2.4045,50.54,80.56,9.63,0m 9s,88.61,18.19,6.04,24.98,0.389349,2025-07-11 04:51:55,torch
44,2.0688,59.73,2.7003,44.22,76.85,8.93,0m 8s,97.69,17.16,6.04,24.98,0.388452,2025-07-11 04:52:04,torch
45,2.0604,59.52,2.2405,55.39,83.32,9.31,0m 9s,97.29,22.67,6.04,24.99,0.387520,2025-07-11 04:52:14,torch
46,2.0462,60.02,2.2628,54.75,83.14,10.01,0m 10s,98.11,17.83,6.04,24.99,0.386552,2025-07-11 04:52:25,torch
47,2.0554,59.95,2.4019,51.73,80.83,8.18,0m 8s,97.38,21.05,6.04,25.06,0.385550,2025-07-11 04:52:34,torch
48,2.045,59.94,2.2911,54.17,83.42,8.69,0m 8s,96.75,18.79,6.04,25.06,0.384514,2025-07-11 04:52:43,torch
49,2.0373,60.51,2.4755,48.25,78.73,9.91,0m 9s,97.78,18.88,6.04,25.01,0.383442,2025-07-11 04:52:54,torch
50,2.0305,60.69,2.2482,55.85,84.55,8.25,0m 8s,97.75,16.29,6.04,25.01,0.382337,2025-07-11 04:53:03,torch
